genre,title_count,total_votes,weighted_average_rating
Drama,152488,625561883,7.268786910726786
Action,34269,388125537,6.878911111174833
Comedy,80637,367854321,6.754887149470237
Adventure,20235,320563089,7.076087044132519
Crime,29086,238051450,7.181823915796354
Thriller,28210,206210943,6.831590631443845
Sci-Fi,7915,153047899,7.006665389767944
Romance,36508,148797074,6.869661043200353
Mystery,13260,130656423,6.948855533876052
Horror,25670,127814265,6.350533590284308
Fantasy,10171,116062102,6.931320412411624
Biography,10523,79119207,7.489895219753657
Animation,5995,73043163,7.361415916504051
Family,12788,54201869,6.827504763719496
History,9409,33921223,7.380393068374923
War,6704,28123014,7.645970222110617
Music,8468,25325670,7.095861854790023
Sport,4221,20353281,7.041863255364087
Documentary,54145,17035627,7.280189452375308
Western,5156,12100885,7.52609917373812
Musical,7005,11969806,6.9429454412210205
Film-Noir,880,4156107,7.499630543679458
Adult,4508,316059,5.6983987166953
News,683,247731,7.5767836887591775
Reality-TV,93,8292,6.107440906898216
Talk-Show,29,2647,6.900113335851908
Game-Show,7,308,6.247077922077922
