year,count
1900,5
1901,4
1902,1
1903,3
1904,1
1905,8
1906,9
1907,13
1908,14
1909,43
1910,45
1911,55
1912,60
1913,113
1914,213
1915,265
1916,327
1917,352
1918,335
1919,374
1920,353
1921,346
1922,321
1923,346
1924,353
1925,434
1926,476
1927,512
1928,575
1929,581
1930,706
1931,794
1932,879
1933,825
1934,939
1935,1046
1936,1079
1937,1099
1938,1089
1939,1057
1940,1021
1941,999
1942,1015
1943,979
1944,818
1945,742
1946,824
1947,869
1948,945
1949,1077
1950,1155
1951,1186
1952,1182
1953,1263
1954,1259
1955,1305
1956,1377
1957,1511
1958,1480
1959,1536
1960,1545
1961,1600
1962,1657
1963,1615
1964,1707
1965,1767
1966,1807
1967,1870
1968,2074
1969,2156
1970,2332
1971,2405
1972,2387
1973,2427
1974,2362
1975,2337
1976,2321
1977,2315
1978,2326
1979,2503
1980,2495
1981,2564
1982,2596
1983,2645
1984,2683
1985,2685
1986,2772
1987,2847
1988,2820
1989,2856
1990,2772
1991,2702
1992,2613
1993,2532
1994,2554
1995,2689
1996,2727
1997,2948
1998,3047
1999,3208
2000,3344
2001,3661
2002,3764
2003,3926
2004,4342
2005,4777
2006,5332
2007,5573
2008,6381
2009,7125
2010,7389
2011,8002
2012,8460
2013,8811
2014,9503
2015,9745
2016,10202
2017,10725
2018,10906
2019,11002
2020,8982
2021,9685
2022,11386
2023,11447
2024,10771
2025,5431
