year,weighted_average_rating,votes
1894,5.3,228
1896,3.2,25
1897,5.070015698587127,637
1898,2.592079207920792,101
1899,3.6241610738255035,149
1900,4.325563909774436,133
1901,4.118421052631579,114
1902,3.2,80
1903,6.394597839135654,833
1904,5.3,378
1905,4.518214285714286,280
1906,5.42336,1250
1907,4.492326139088729,417
1908,4.3242666666666665,375
1909,4.225404157043879,866
1910,4.626772247360483,1326
1911,6.37535277516463,6378
1912,5.744056271981243,4265
1913,6.442388693369085,17901
1914,6.2520567940552025,30144
1915,6.25562539510521,55365
1916,6.765088336263921,47772
1917,6.25032679738562,27387
1918,6.235111021667672,29814
1919,6.62174171519161,65602
1920,7.329811224957513,141809
1921,7.804222041491746,212717
1922,7.498800622295689,205690
1923,7.257497774373201,96602
1924,7.620013120076496,179877
1925,7.631705251185062,330573
1926,7.589721502560218,212677
1927,7.778383693990027,411333
1928,7.502569764898281,288003
1929,6.81275498007968,200800
1930,6.939999459849972,296214
1931,7.6268241604948175,862383
1932,6.990442600737288,570469
1933,7.089936027057917,580089
1934,7.025128130230663,520369
1935,7.0203954095720595,561342
1936,7.4457258137402995,774510
1937,7.201030886398759,721515
1938,7.133940152593125,613527
1939,7.711485502217586,1599486
1940,7.571162174890843,1473582
1941,7.523980210654203,1471701
1942,7.682420857202674,1447289
1943,6.974817125147855,605332
1944,7.344681861926979,902957
1945,7.18877255605086,729516
1946,7.776087233924571,1496803
1947,7.148036449807166,739757
1948,7.510554166470096,1271820
1949,7.29827152912469,986826
1950,7.551566853907028,1560739
1951,7.287798786196662,1353267
1952,7.430441846434099,1203314
1953,7.19631071521632,1554285
1954,7.8105744414532525,2374376
1955,7.202786029969789,1680025
1956,7.145762402187925,1395661
1957,8.021327724029243,2967213
1958,7.229674058297836,1724112
1959,7.531710723401737,2330669
1960,7.699761112941815,2567322
1961,7.283602174951306,1871858
1962,7.603798710853103,2541836
1963,7.3037209715789135,2261103
1964,7.4477000034556555,2720178
1965,7.257093795199027,2056875
1966,7.519894256027569,2689515
1967,7.239252275685238,2568567
1968,7.535666696453984,3379514
1969,7.067626168394373,1978249
1970,6.849145205029005,1970648
1971,7.304489112628077,3766290
1972,7.98296310507753,4487772
1973,7.278910193000661,3956774
1974,7.731213370947344,4388081
1975,7.7538862764153,4931044
1976,7.4696968862078315,4355493
1977,7.519080530293736,4400580
1978,7.051144906598704,3614618
1979,7.511323704243294,5603714
1980,7.578123250286692,6754678
1981,7.19285491282866,5268991
1982,7.2565848435840925,6211165
1983,7.261381370685734,5963526
1984,7.231152415498893,8318944
1985,7.137982257037655,7943093
1986,7.1149506694688895,8246313
1987,7.069450169657766,9053520
1988,7.12730594515161,10079457
1989,7.061413646632492,9762086
1990,7.14321698656706,11181918
1991,7.341089785082222,10041980
1992,7.097652604756409,11032356
1993,7.34216368121922,13546099
1994,7.830483668718802,20438721
1995,7.3880286258379995,19166321
1996,6.866681857927225,14051939
1997,7.086027437692438,20673896
1998,7.191062026911966,20625918
1999,7.408442406171507,26677051
2000,7.109742716433888,23966591
2001,7.194474334676766,28278097
2002,7.080615323154326,28585955
2003,7.073518752591526,29309469
2004,7.046513074898821,34861417
2005,6.866183971486357,30924140
2006,6.980527264222556,35586674
2007,6.914507817745344,37473720
2008,6.967364320126157,39434478
2009,6.8933120913373,38583317
2010,6.972108227510168,40355137
2011,6.798342753059556,42525829
2012,6.963096552986564,42758377
2013,6.875088794579154,47500929
2014,7.018878329437385,48416551
2015,6.83493705842279,37965048
2016,6.8547110465451935,41640132
2017,6.810473501956361,38475765
2018,6.771351514479387,35806727
2019,6.922868392016167,38099102
2020,6.3907046756668535,18955756
2021,6.61124133495319,27748119
2022,6.66356211074718,30193744
2023,6.62560720255538,26532250
2024,6.543984045354782,20459496
2025,6.2748656026846,8788494
